eng_name,drama_num,kor_name,gender,birth,drama_cnt_naver,debut,play_actor,singer,child_actor,actor_type,actor_type_real
Jung Hae In,7,정해인,0.0,1986-12-07,18,2013.0,0.0,0.0,0.0,"정해인
탤런트, 영화배우","탤런트,영화배우"
Koo Kyo Hwan,3,구교환,0.0,1986-12-07,9,2006.0,1.0,0.0,0.0,"구교환
영화배우, 영화감독","영화배우,영화감독"
Kim Sung Kyun,6,김성균,0.0,1986-12-07,12,2001.0,1.0,0.0,0.0,"김성균
연극배우, 영화배우","연극배우,영화배우"
Son Suk Ku,7,손석구,0.0,1986-12-07,13,2011.0,1.0,0.0,0.0,"손석구
Sukku Son
영화배우",영화배우
Lee Sung Min,6,이성민,0.0,1986-12-07,31,1987.0,1.0,0.0,0.0,"이성민
탤런트, 영화배우","탤런트,영화배우"
Jung Jin Young,12,정진영,0.0,1986-12-07,19,1988.0,1.0,0.0,0.0,"정진영
영화배우, 영화감독","영화배우,영화감독"
Kyung Soo Jin,8,경수진,1.0,1986-12-07,24,2012.0,0.0,0.0,0.0,"경수진
탤런트",탤런트
Lee Hak Joo,4,이학주,0.0,1986-12-07,19,2012.0,0.0,0.0,0.0,"이학주
영화배우",영화배우
Kim Shin Rok,2,김신록,1.0,1986-12-07,10,2004.0,1.0,0.0,0.0,"김신록
영화배우",영화배우
Park Gyu Young,3,박규영,1.0,1986-12-07,16,2016.0,0.0,0.0,0.0,"박규영
탤런트",탤런트
Kang Min Hyuk,5,강민혁,0.0,1986-12-07,17,2010.0,0.0,1.0,0.0,"강민혁
가수, 탤런트","가수,탤런트"
Lee Chung Ah,6,이청아,1.0,1986-12-07,29,2002.0,0.0,0.0,0.0,"이청아
Chung Ah Lee
영화배우, 탤런트","영화배우,탤런트"
Lee Dong Gun,7,이동건,0.0,1986-12-07,26,1998.0,0.0,1.0,0.0,"이동건
영화배우, 가수","영화배우,가수"
Jeon Hyo Sung,2,전효성,1.0,1986-12-07,27,2005.0,0.0,1.0,0.0,"전효성
Jun Hyo Seong
탤런트, 가수","탤런트,가수"
Kim Myung Soo,7,엘,0.0,1986-12-07,18,2010.0,0.0,1.0,0.0,"김명수
엘
탤런트, 가수","엘탤런트,가수"
Choi Jin Hyuk,7,최진혁,0.0,1986-12-07,27,2006.0,0.0,0.0,0.0,"최진혁
김태호, Jin Hyuk Choi
탤런트, 영화배우","김태호,탤런트,영화배우"
Choi Min Soo,5,최민수,0.0,1986-12-07,28,1985.0,1.0,0.0,0.0,"최민수
영화배우, 탤런트","영화배우,탤런트"
Yeonwoo,5,연우,1.0,1986-12-07,14,2016.0,0.0,1.0,0.0,증권정보,증권정보
Kim Yoo Ri,3,김유리,1.0,1986-12-07,15,2006.0,0.0,0.0,0.0,"김유리
탤런트",탤런트
